case_code	case_name	court_from	court_type	result	author	judge_panel
876 F.3d 1326	Nobelbiz Inc v Global Connect LLC	Eastern District of Texas	Federal District Court	The petition for rehearing en banc is denied.		Before Prost, Chief Judge, Newman, Lourie, Dyk, Moore, O'Malley, Reyna, Wallach, Taranto, Chen, Hughes, and
811 F.3d 435	Redline Detection LLC v Star Envirotech Inc	Patent Trial and Appeal Board	Federal Court	AFFIRMED	WALLACH	Before LOURIE, WALLACH, and HUGHES, Circuit Judges.
665 F.3d 1269	Streck Inc v Research And Diagnostic Systems Inc	District of Nebraska	Federal District Court	AFFIRMED	O'MALLEY	Before NEWMAN, O'MALLEY, and REYNA, Circuit Judges.
732 F.3d 1351	Tyrues v Shinseki	Board of Veterans' Appeals	Federal Court	AFFIRMED.	TARANTO	Before NEWMAN, LOURIE, and TARANTO, Circuit Judges.
830 F.3d 1357	Murata Machinery USA v Daifuku Co Ltd	District of Utah	Federal District Court	AFFIRMED-IN-PART, VACATED-IN-PART, AND REMANDED	Stoll	Before Reyna, Chen, and Stoll, Circuit Judges.
700 F.3d 1287	Superior Industries LLC v Thor Global Enterprises Ltd	District of Minnesota	Federal District Court	AFFIRMED–IN–PART, REVERSED–IN–PART, AND REMANDED	RADER	Before RADER, Chief Judge, MAYER and SCHALL, Circuit Judges.
835 F.3d 1406	Veritas Technologies LLC v Veeam Software Corporation	Patent Trial and Appeal Board	Federal Court	AFFIRMED IN PART, VACATED IN PART, AND REMANDED	Taranto	Before Lourie, O'Malley, and Taranto, Circuit Judges.
859 F.3d 1059	OneEWay Inc v International Trade Commission	Federal Circuit	Appellate Court	REVERSED AND REMANDED	Stoll	Before Prost, Chief Judge, Wallach, and Stoll, Circuit Judges.
757 F.3d 1358	XY Attenuators LLC v International Trade Com'n	International Trade Commission	Federal Court	AFFIRMED	MOORE	Before MOORE, REYNA, and WALLACH, Circuit Judges.
829 F.3d 1353	Unwired Planet LLC v Apple Inc	Northern District of California	Federal District Court	AFFIRMED IN PART, VACATED IN PART, AND REMANDED	Moore	Before Moore, Bryson, and Reyna, Circuit Judges.
869 F.3d 1309	Vicor Corporation v SynQor Inc	Patent Trial and Appeal Board	Federal Court	AFFIRMED-IN-PART, VACATED-IN-PART, AND REMANDED	Chen	Before Lourie, Taranto, and Chen, Circuit Judges.
769 F.3d 1323	AntiCancer Inc v Pfizer Inc	Southern District of California	Federal District Court	Vacated and remanded.	NEWMAN	Before NEWMAN, REYNA, and TARANTO, Circuit Judges.
828 F.3d 1373	SkyHawke Technologies LLC v Deca International Corp	Patent Trial and Appeal Board	Federal Court	ON MOTION	Hughes	Before Taranto, Chen, and Hughes, Circuit Judges.
843 F.3d 1355	International Custom Products Inc v United States	United States Court of International Trade	Federal Court	AFFIRMED	Wallach	Before Reyna, Linn, and Wallach, Circuit Judges.
797 F.3d 1332	In re Louisiana Fish Fry Products Ltd	Trademark Trial and Appeal Board	Federal Court	AFFIRMED	REYNA	Before NEWMAN, REYNA, and HUGHES, Circuit Judges.
873 F.3d 887	Organik Kimya AS v Rohm and Haas Company	Patent Trial and Appeal Board	Federal Court	AFFIRMED	Newman	Before Prost, Chief Judge, Newman and Taranto, Circuit Judges.
734 F.3d 1361	LifeScan Scotland Ltd v Shasta Technologies LLC	Northern District of California	Federal District Court	REVERSED AND REMANDED	DYK	Before DYK, PROST, and REYNA, Circuit Judges.
667 F.3d 1270	HTC Corp v IPCom GmbH And Co KG	International Trade Commission	Federal Court	REVERSED	O'MALLEY	Before BRYSON, LINN, and O'MALLEY, Circuit Judges.
815 F.3d 1331	Blue Calypso LLC v Groupon Inc	Patent Trial and Appeal Board	Federal Court	AFFIRMED–IN–PART, REVERSED–IN–PART	CHEN	Before REYNA, SCHALL, and CHEN, Circuit Judges.
725 F.3d 1315	M Innovative Properties Co v Tredegar Corp	District of Minnesota	Federal District Court	AFFIRMED–IN–PART, REVERSED–IN–PART, AND REMANDED	REYNA	Before O'MALLEY, PLAGER, and REYNA, Circuit Judges.
745 F.3d 490	Elcommercecom Inc v SAP AG	Eastern District of Texas	Federal District Court	AFFIRMED IN PART, VACATED IN PART, AND REMANDED	NEWMAN	Before NEWMAN, PLAGER, and WALLACH, Circuit Judges.
688 F.3d 1342	Kinetic Concepts Inc v Smith And Nephew Inc	Western District of Texas	Federal District Court	REVERSED AND REMANDED	O'MALLEY	Before BRYSON, DYK and O'MALLEY, Circuit Judges.
870 F.3d 1342	Waymo LLC v Uber Technologies Inc	Northern District of California	Federal District Court	AFFIRMED	Newman	Before Newman, Wallach, and Stoll, Circuit Judges.
789 F.3d 1313	US v American Home Assur Co	United States Court of International Trade	Federal Court	AFFIRMED–IN–PART, REVERSED–IN–PART, VACATED–IN–PART, AND REMANDED	SCHALL	Before MOORE, SCHALL, and REYNA, Circuit Judges.
821 F.3d 1338	In re TC Heartland LLC	District of Delaware	Federal District Court	The petition for a writ of mandamus is denied.	MOORE	Before MOORE, LINN, and WALLACH, Circuit Judges.
810 F.3d 1283	ClearCorrect Operating LLC v International Trade Com'n	International Trade Commission	Federal Court	REVERSED AND REMANDED.	PROST	Before PROST, Chief Judge, NEWMAN and O'MALLEY, Circuit Judges.
824 F.3d 987	In re Arunachalam	Federal Circuit	Appellate Court		Hughes	Before Taranto, Chen, and Hughes, Circuit Judges.
709 F.3d 1348	Aristocrat Technologies Australia Pty Ltd v International Game Technology	Northern District of California	Federal District Court	AFFIRMED IN PART, VACATED AND REMANDED IN PART	O'MALLEY	Before O'MALLEY, BRYSON * , and LINN ** , Circuit Judges.
875 F.3d 1091	In re Micron Technology Inc	District of Massachusetts	Federal District Court	Petition granted, order vacated and remanded.	Taranto	Before Taranto, Chen, and Hughes, Circuit Judges.
825 F.3d 1360	Genzyme Therapeutic Products Limited Partnership v Biomarin Pharmaceutical	Patent Trial and Appeal Board	Federal Court	AFFIRMED	Bryson	Before Moore, Bryson, and Reyna, Circuit Judges.
837 F.3d 1268	Stryker Corporation v Zimmer Inc	Western District of Michigan	Federal District Court	Stryker petitioned for rehearing en banc, which this court denied. Stryker then filed a petition for a writ of certiorari	Prost	Before Prost, Chief Judge, Newman and Hughes, Circuit Judges.
731 F.3d 1326	In re City of Houston	Trademark Trial and Appeal Board	Federal Court	AFFIRMED.	PLAGER	Before LOURIE and PLAGER, Circuit Judges, and BENSON * , District Judge.
779 F.3d 1360	Eidos Display LLC v AU Optronics Corp	Eastern District of Texas	Federal District Court	REVERSED AND REMANDED.	CHEN	Before WALLACH, TARANTO, and CHEN, Circuit Judges.
762 F.3d 1338	Tyco Healthcare Group LP v Mutual Pharmaceutical Co Inc	District of New Jersey	Federal District Court	AFFIRMED IN PART, VACATED IN PART, AND REMANDED	BRYSON	Before NEWMAN, BRYSON, and MOORE, Circuit Judges.
753 F.3d 1368	Essar Steel Ltd v US	United States Court of International Trade	Federal Court	AFFIRMED.	LOURIE	Before NEWMAN, LOURIE, and TARANTO, Circuit Judges.
837 F.3d 1249	Asia Vital Components Co Ltd v Asetek Danmark AS	Eastern District of Virginia	Federal District Court	REVERSED AND REMANDED	Prost	Before Prost, Chief Judge, Linn and Taranto, Circuit Judges.
876 F.3d 1372	Inventor Holdings LLC v Bed Bath And Beyond Inc	District of Delaware	Federal District Court	AFFIRMED	Chen	Before Wallach, Chen, and Stoll, Circuit Judges.
753 F.3d 1270	Empresa Cubana Del Tabaco v General Cigar Co Inc	Trademark Trial and Appeal Board	Federal Court	VACATED AND REMANDED.	RADER	Before RADER, * TARANTO and HUGHES, Circuit Judges.
844 F.3d 1344	In re Ethicon Inc	Patent Trial and Appeal Board	Federal Court	AFFIRMED	Lourie	Before Newman, Lourie, and Dyk, Circuit Judges.
749 F.3d 1332	DSM Desotech Inc v D Systems Corp	Northern District of Illinois	Federal District Court	AFFIRMED	SCHALL	Before MOORE, SCHALL, and REYNA, Circuit Judges.
728 F.3d 1336	Accenture Global Services GmbH v Guidewire Software Inc	District of Delaware	Federal District Court	AFFIRMED	LOURIE	Before RADER, Chief Judge, LOURIE and REYNA, Circuit Judges.
816 F.3d 1374	MAG Aerospace Industries Inc v BE Aerospace Inc	Central District of California	Federal District Court	AFFIRMED	PROST	Before PROST, Chief Judge, MAYER and REYNA, Circuit Judges.
823 F.3d 607	In re TLI Communications LLC Patent Litigation	Eastern District of Virginia	Federal District Court	AFFIRMED	HUGHES	Before DYK, SCHALL, and HUGHES, Circuit Judges.
830 F.3d 1335	Verinata Health Inc v Ariosa Diagnostics Inc	Northern District of California	Federal District Court	AFFIRMED	Reyna	Before Reyna, Clevenger, and Wallach, Circuit Judges.
769 F.3d 1094	Robert Bosch LLC v SnapOn Inc	Eastern District of Michigan	Federal District Court	AFFIRMED.	PROST	Before PROST, Chief Judge, TARANTO and HUGHES, Circuit Judges.
866 F.3d 1363	In re North Carolina Lottery	Trademark Trial and Appeal Board	Federal Court	AFFIRMED	Prost	Before Prost, Chief Judge, Chen and Hughes, Circuit Judges.
811 F.3d 1326	Agilent Technologies v Waters Technologies Corp	Patent Trial and Appeal Board	Federal Court	DISMISSED	O'MALLEY	Before MOORE, O'MALLEY, and TARANTO, Circuit Judges.
841 F.3d 986	Christian Faith Fellowship Church v adidas AG	Trademark Trial and Appeal Board	Federal Court	REVERSED AND REMANDED	Stoll	Before Reyna, Hughes, and Stoll, Circuit Judges.
805 F.3d 1359	Ariosa Diagnostics v Verinata Health Inc	Patent Trial and Appeal Board	Federal Court	VACATED AND REMANDED.	TARANTO	Before PROST, Chief Judge, WALLACH, and TARANTO, Circuit Judges.
678 F.3d 1280	Otsuka Pharmaceutical Co Ltd v Sandoz Inc	District of New Jersey	Federal District Court	AFFIRMED	LOURIE	Before LOURIE, MOORE, and REYNA, Circuit Judges.
838 F.3d 1214	ClassCo Inc v Apple Inc	Patent Trial and Appeal Board	Federal Court	AFFIRMED	Stoll	Before Taranto, Bryson, and Stoll, Circuit Judges.
679 F.3d 1335	In re Youman			VACATED AND REMANDED	PROST	Before LOURIE, SCHALL, and PROST, Circuit Judges.
793 F.3d 1352	Versata Development Group Inc v Lee	Patent Trial and Appeal Board	Federal Court	AFFIRMED.	PLAGER	Before NEWMAN, PLAGER, and HUGHES, Circuit Judges.
813 F.3d 998	Lismont v Alexander Binzel Corp	Eastern District of Virginia	Federal District Court	AFFIRMED	CHEN	Before LOURIE, REYNA, and CHEN, Circuit Judges.
776 F.3d 854	In re The Newbridge Cutlery Co	Trademark Trial and Appeal Board	Federal Court	REVERSED AND REMANDED.	LINN	Before PROST, Chief Judge, LINN, and HUGHES, Circuit Judges.
870 F.3d 1298	Mentor Graphics Corporation v EVEUSA Inc	District of Oregon	Federal District Court	The petition for rehearing en banc is denied.		Before Prost, Chief Judge, Newman, Lourie, Dyk, Moore, O’Malley, Reyna, Wallach, Taranto, Chen, Hughes, and
850 F.3d 1343	Thales Visionix Inc v United States	United States Court of Federal Claims	Federal Court	REVERSED AND REMANDED	Moore	Before Moore, Wallach, and Stoll, Circuit Judges.
726 F.3d 1296	Aria Diagnostics Inc v Sequenom Inc	Northern District of California	Federal District Court	VACATED AND REMANDED.	RADER	Before RADER, Chief Judge, DYK, and REYNA, Circuit Judges.
742 F.3d 998	Solvay SA v Honeywell Intern Inc	District of Delaware	Federal District Court	AFFIRMED.	DYK	Before RADER, Chief Judge, NEWMAN, and DYK, Circuit Judges.
769 F.3d 1120	World Class Technology Corp v Ormco Corp	District of Oregon	Federal District Court	Affirmed.	TARANTO	Before PROST, Chief Judge, TARANTO and HUGHES, Circuit Judges.
774 F.3d 1371	Fleming v Escort Inc	District of Idaho	Federal District Court	AFFIRMED	TARANTO	Before TARANTO, BRYSON, and HUGHES, Circuit Judges.
788 F.3d 1359	OIP Technologies Inc v Amazoncom Inc	Northern District of California	Federal District Court	AFFIRMED	HUGHES	Before TARANTO, MAYER, and HUGHES, Circuit Judges.
743 F.3d 831	Ring And Pinion Service Inc v ARB Corp Ltd	Western District of Washington	Federal District Court	REVERSED AND REMANDED.	MOORE	Before MOORE, CLEVENGER, and REYNA, Circuit Judges.
723 F.3d 1353	La Crosse Technology Ltd v US	United States Court of International Trade	Federal Court	REVERSED.	O'MALLEY	Before NEWMAN, BRYSON, and O'MALLEY, Circuit Judges.
841 F.3d 1288	Amdocs (Israel) Limited v Openet Telecom Inc	Eastern District of Virginia	Federal District Court	REVERSED AND REMANDED	Plager	Before Newman, Plager, and Reyna, Circuit Judges.
691 F.3d 1356	Orenshteyn v Citrix Systems Inc	Southern District of Florida	Federal District Court		LINN	Before NEWMAN, LINN, and REYNA, Circuit Judges.
692 F.3d 1250	Amkor Technology Inc v International Trade Com'n	International Trade Commission	Federal Court	REVERSED AND REMANDED	LINN	Before NEWMAN, PLAGER, and LINN, Circuit Judges.
747 F.3d 1338	In re Toyota Motor Corp	Eastern District of Texas	Federal District Court	ON MOTION	TARANTO	Before PROST, O'MALLEY, and TARANTO, Circuit Judges. TARANTO, Circuit Judge.
695 F.3d 1285	Outside the Box Innovations LLC v Travel Caddy Inc	Northern District of Georgia	Federal District Court	AFFIRMED IN PART, VACATED IN PART, REVERSED IN PART, and REMANDED		Before NEWMAN, PROST, and O'MALLEY, Circuit Judges.
696 F.3d 1364	KTEC Inc v VitaMix Corp	District of Utah	Federal District Court	AFFIRMED	LOURIE	Before NEWMAN, LOURIE, and PROST, Circuit Judges.
790 F.3d 1343	Internet Patents Corp v Active Network Inc	Northern District of California	Federal District Court	AFFIRMED	NEWMAN	Before NEWMAN, MOORE, and REYNA, Circuit Judges.
835 F.3d 1388	Liberty Ammunition Inc v United States	United States Court of Federal Claims	Federal Court	REVERSED–IN–PART, VACATED–IN–PART, AFFIRMED–IN–PART	Stoll	Before Prost, Chief Judge, Newman, and Stoll, Circuit Judges.
829 F.3d 1343	Polar Electro Oy v Suunto Oy	District of Delaware	Federal District Court	VACATED AND REMANDED	Lourie	Before Newman, Lourie, and Chen, Circuit Judges.
721 F.3d 1371	Smith And Nephew Inc v Rea	Patent Trial and Appeal Board	Federal Court	REVERSED	BRYSON	Before DYK, BRYSON, and WALLACH, Circuit Judges.
761 F.3d 1354	GRK Canada Ltd v US	United States Court of International Trade	Federal Court	VACATED AND REMANDED	PROST	Before PROST, Chief Judge, * CLEVENGER and REYNA, Circuit Judges.
723 F.3d 1336	Novozymes AS v DuPont Nutrition Biosciences APS	Western District of Wisconsin	Federal District Court	AFFIRMED.	SCHALL	Before RADER, Chief Judge, SCHALL and BRYSON, Circuit Judges.
825 F.3d 1373	Allied Erecting and Dismantling Co Inc v Genesis Attachments LLC	Patent Trial and Appeal Board	Federal Court	AFFIRMED	Wallach	Before Newman, Dyk, and Wallach, Circuit Judges.
752 F.3d 1371	QI Press Controls BV v Lee			AFFIRMED IN PART, VACATED IN PART, AND REMANDED.	LOURIE	Before LOURIE, BRYSON, and HUGHES, Circuit Judges.
778 F.3d 1250	In re Imes	Patent Trial and Appeal Board	Federal Court	REVERSED AND REMANDED.	MOORE	Before LOURIE MOORE, and CHEN, Circuit Judges.
752 F.3d 1358	Suffolk Technologies LLC v AOL Inc	Eastern District of Virginia	Federal District Court	AFFIRMED.	PROST	Before RADER, Chief Judge, PROST and CHEN, Circuit Judges.
720 F.3d 1380	Wyeth and Cordis Corp v Abbott Laboratories	District of New Jersey	Federal District Court	AFFIRMED	MOORE	Before MOORE, BRYSON, and WALLACH, Circuit Judges.
824 F.3d 999	Ruckus Wireless Inc v Innovative Wireless Solutions LLC	Western District of Texas	Federal District Court	AFFIRMED	Reyna	Before Prost, Chief Judge, Reyna, Circuit Judge, and Stark, Chief District Judge. 1
695 F.3d 1266	Medtronic Inc v Boston Scientific Corp	District of Delaware	Federal District Court	VACATED AND REMANDED	LINN	Before LOURIE, LINN, and PROST, Circuit Judges.
702 F.3d 633	In re Fox	Trademark Trial and Appeal Board	Federal Court	AFFIRMED	DYK	Before DYK, PROST, and O'MALLEY, Circuit Judges.
724 F.3d 1320	In re Bimeda Research And Development Ltd	Patent Trial and Appeal Board	Federal Court	AFFIRMED.		Before RADER, Chief Judge, CLEVENGER, and PROST, Circuit Judges.
701 F.3d 1367	Changzhou Wujin Fine Chemical Factory Co Ltd v US	United States Court of International Trade	Federal Court	AFFIRMED–IN–PART, REVERSED–IN–PART, AND REMANDED.	DYK	Before DYK, CLEVENGER, and REYNA, Circuit Judges.
731 F.3d 1258	MeadWestVaco Corp v Rexam Beauty and Closures Inc	Eastern District of Virginia	Federal District Court	AFFIRMED–IN–PART, VACATED–IN–PART, AND REMANDED	PROST	Before PROST, O'MALLEY, and TARANTO, Circuit Judges.
805 F.3d 1092	Prometheus Laboratories Inc v Roxane Laboratories Inc	District of New Jersey	Federal District Court	AFFIRMED.	DYK	Before DYK, TARANTO, and HUGHES, Circuit Judges.
673 F.3d 1372	M Co v Avery Dennison Corp	District of Minnesota	Federal District Court	VACATED AND REMANDED	LOURIE	Before RADER, Chief Judge, and LOURIE and LINN, Circuit Judges.
838 F.3d 1266	Affinity Labs of Texas LLC v Amazoncom Inc	Western District of Texas	Federal District Court	AFFIRMED	Bryson	Before Prost, Chief Judge, Bryson and Wallach, Circuit Judges.
700 F.3d 1314	ArcelorMittal France v AK Steel Corp	District of Delaware	Federal District Court	AFFIRMED–IN–PART, REVERSED–IN–PART, VACATED–IN–PART, REMANDED	DYK	Before DYK, CLEVENGER, and WALLACH, Circuit Judges.
723 F.3d 1376	Charles Mach Works Inc v Vermeer Mfg Co	Southern District of Iowa	Federal District Court	VACATED–IN–PART, AFFIRMED–IN–PART, REVERSED–IN–PART AND REMANDED	MOORE	Before DYK, MAYER, and MOORE, Circuit Judges.
747 F.3d 1326	MRC Innovations Inc v Hunter Mfg LLP	Northern District of Ohio	Federal District Court	AFFIRMED.	PROST	Before RADER, Chief Judge, PROST and CHEN, Circuit Judges.
767 F.3d 1383	Benefit Funding Systems LLC v Advance America Cash Advance Centers Inc	District of Delaware	Federal District Court	AFFIRMED	PROST	Before PROST, Chief Judge, LOURIE and HUGHES, Circuit Judges.
778 F.3d 1327	United Access Technologies LLC v Centurytel Broadband Services LLC	District of Delaware	Federal District Court	REVERSED AND REMANDED.	BRYSON	Before NEWMAN, BRYSON, and O'MALLEY, Circuit Judges.
742 F.3d 955	EnOcean GmbH v Face Intern Corp			VACATED–IN–PART AND REMANDED.	PROST	Before RADER, Chief Judge, LOURIE and PROST, Circuit Judges.
755 F.3d 1345	Chemsol LLC v US	United States Court of International Trade	Federal Court	AFFIRMED	WALLACH	Before O'MALLEY, MAYER, and WALLACH, Circuit Judges.
751 F.3d 1362	KS Himpp v HearWear Technologies LLC			AFFIRMED.	LOURIE	Before LOURIE, DYK, and WALLACH, Circuit Judges.
789 F.3d 1292	Microsoft Corp v Proxyconn Inc	Patent Trial and Appeal Board	Federal Court	Affirmed in part, reversed in part, vacated in part, and remanded.	PROST	Before PROST, Chief Judge, LOURIE, Circuit Judge, and GILSTRAP, District Judge. *
737 F.3d 1338	AMS Associates Inc v US	United States Court of International Trade	Federal Court	AFFIRMED	LOURIE	Before LOURIE, DYK, and O'MALLEY, Circuit Judges.
732 F.3d 1370	Keurig Inc v Sturm Foods Inc	District of Delaware	Federal District Court	AFFIRMED	LOURIE	Before LOURIE, MAYER, and O'MALLEY, Circuit Judges.
790 F.3d 1377	Mohsenzadeh v Lee	Eastern District of Virginia	Federal District Court	AFFIRMED	REYNA	Before MOORE, SCHALL, and REYNA, Circuit Judges.
856 F.3d 997	Cisco Systems Inc v Cirrex Systems LLC	Patent Trial and Appeal Board	Federal Court	Affirmed in part and reversed in part.	Chen	Before Prost, Chief Judge, Wallach and Chen, Circuit Judges.
853 F.3d 1289	Novartis AG v Noven Pharmaceuticals Inc	Patent Trial and Appeal Board	Federal Court	AFFIRMED	Wallach	Before Prost, Chief Judge, Wallach and Stoll, Circuit Judges.
849 F.3d 1049	Los Angeles Biomedical Research Institute at HarborUCLA Medical Center v 	Patent Trial and Appeal Board	Federal Court	VACATED AND REMANDED	Bryson	Before Newman, Bryson, and Moore, Circuit Judges.
733 F.3d 1364	SanofiAventis v Pfizer Inc	Federal Circuit	Appellate Court	AFFIRMED.	NEWMAN	Before NEWMAN, and LOURIE, Circuit Judges, and DAVIS, District Judge. 1
783 F.3d 865	Ineos USA LLC v Berry Plastics Corp	Southern District of Texas	Federal District Court	AFFIRMED.	MOORE	Before DYK, MOORE, and O'MALLEY, Circuit Judges.
783 F.3d 1365	InfoHold Inc v Muzak LLC	Southern District of Ohio	Federal District Court	AFFIRMED–IN–PART, REVERSED–IN–PART, VACATED–IN–PART AND REMANDED.	REYNA	Before REYNA, WALLACH, and TARANTO, Circuit Judges.
843 F.3d 936	In re Jobdiva Inc	Trademark Trial and Appeal Board	Federal Court	VACATED AND REMANDED	Stoll	Before Prost, Chief Judge, Dyk, and Stoll, Circuit Judges.
700 F.3d 1300	Fox Group Inc v Cree Inc	Eastern District of Virginia	Federal District Court	AFFIRMED–IN–PART AND VACATED–IN–PART	WALLACH	Before NEWMAN, O'MALLEY, and WALLACH, Circuit Judges.
773 F.3d 1186	PAR Pharmaceutical Inc v TWI Pharmaceuticals Inc	District of Maryland	Federal District Court	VACATED AND REMANDED	O'MALLEY	Before O'MALLEY, WALLACH, and HUGHES, Circuit Judges.
746 F.3d 1302	Butamax(TM) Advanced Biofuels LLC v Gevo Inc	District of Delaware	Federal District Court	REVERSED–IN–PART, VACATED–IN–PART, AND REMANDED.	LINN	Before RADER, Chief Judge, LINN, and WALLACH, Circuit Judges.
719 F.3d 1346	Novo Nordisk AS v Caraco Pharmaceutical Laboratories Ltd	Eastern District of Michigan	Federal District Court	AFFIRMED IN PART AND REVERSED IN PART	PROST	Before NEWMAN, DYK, and PROST, Circuit Judges.
811 F.3d 1314	Mortgage Grader Inc v First Choice Loan Services Inc	Central District of California	Federal District Court	AFFIRMED.	STARK	Before O'MALLEY and TARANTO, Circuit Judges, and STARK, Chief District Judge. *
799 F.3d 1372	Dome Patent LP v Lee	Federal Circuit	Appellate Court	AFFIRMED	HUGHES	Before REYNA, SCHALL, and HUGHES, Circuit Judges.
778 F.3d 1021	Pacing Technologies LLC v Garmin Intern Inc	Southern District of California	Federal District Court	AFFIRMED	MOORE	Before LOURIE, MOORE, and REYNA, Circuit Judges.
853 F.3d 1316	Novartis AG v Torrent Pharmaceuticals Limited	Patent Trial and Appeal Board	Federal Court	AFFIRMED	Chen	Before Taranto, Chen, and Stoll, Circuit Judges.
833 F.3d 1336	ScriptPro LLC v Innovation Associates Inc	District of Kansas	Federal District Court	REVERSED AND REMANDED	Moore	Before Moore, Taranto, and Hughes, Circuit Judges.
766 F.3d 1378	Qingdao SeaLine Trading Co Ltd v US	United States Court of International Trade	Federal Court	AFFIRMED	REYNA	Before NEWMAN, REYNA, and CHEN, Circuit Judges.
797 F.3d 1341	Personalized User Model LLP v Google Inc	District of Delaware	Federal District Court	AFFIRMED IN PART, DISMISSED IN PART	LOURIE	Before PROST, Chief Judge, LOURIE and REYNA, Circuit Judges.
789 F.3d 1309	GTNX Inc v INTTRA Inc	Patent Trial and Appeal Board	Federal Court	APPEAL DISMISSED, MANDAMUS DENIED	TARANTO	Before DYK, TARANTO, and CHEN, Circuit Judges.
745 F.3d 513	Therasense Inc v Becton Dickinson and Co	Northern District of California	Federal District Court	AFFIRMED	RADER	Before RADER, Chief Judge, NEWMAN, and DYK, Circuit Judges.
676 F.3d 1051	Memorylink Corp v Motorola Inc	Northern District of Illinois	Federal District Court	(2) The petition of Plaintiff–Appellant for rehearing en banc is denied.		Before  RADER,  Chief  Judge,  NEWMAN,  LOURIE,  BRYSON,  LINN,  DYK,  PROST,  MOORE,  O'MALLEY,
805 F.3d 1350	Inphi Corp v Netlist Inc	Patent Trial and Appeal Board	Federal Court	AFFIRMED	O'Malley	Before O'MALLEY, REYNA, and CHEN, Circuit Judges.
696 F.3d 1151	Pozen Inc v Par Pharmaceutical Inc	Eastern District of Texas	Federal District Court	AFFIRMED	WALLACH	Before NEWMAN, CLEVENGER, and WALLACH, Circuit Judges.
816 F.3d 721	Lexmark Intern Inc v Impression Products Inc	Southern District of Ohio	Federal District Court	AFFIRMED IN PART, REVERSED IN PART, AND REMANDED	TARANTO	Before  PROST,  Chief  Judge,  NEWMAN,  LOURIE,  DYK,  MOORE,  O'MALLEY,  REYNA,  WALLACH,
747 F.3d 1357	In re Teles AG Informationstechnologien	United States Court of Appeals for the Federal Circuit	Federal Court	AFFIRMED.	DYK	Before DYK, MOORE, and WALLACH, Circuit Judges.
687 F.3d 1362	Alcon Research Ltd v Apotex Inc	Southern District of Indiana	Federal District Court	REVERSED–IN–PART, AFFIRMED–IN–PART	MOORE	Before PROST, MOORE, and O'MALLEY, Circuit Judges.
689 F.3d 1303	Association for Molecular Pathology v US Patent and Trademark Office	Southern District of New York	Federal District Court	AFFIRMED IN PART and REVERSED IN PART	LOURIE	Before LOURIE, BRYSON, and MOORE, Circuit Judges.
832 F.3d 1335	In re CSBSystem International Inc	Patent Trial and Appeal Board	Federal Court	AFFIRMED	Stoll	Before Newman, Moore, and Stoll, Circuit Judges.
856 F.3d 1019	Rovalma SA v BohlerEdelstahl GmbH And Co KG	Patent Trial and Appeal Board	Federal Court	VACATED AND REMANDED	Taranto	Before Wallach, Taranto, and Stoll, Circuit Judges.
739 F.3d 1367	Proveris Scientific Corp v Innovasystems Inc	District of Massachusetts	Federal District Court	VACATED AND REMANDED.	PROST	Before LOURIE, SCHALL, and PROST, Circuit Judges.
850 F.3d 1315	Intellectual Ventures I LLC v Erie Indemnity Company	Western District of Pennsylvania	Federal District Court	AFFIRMED-IN-PART, VACATED-IN-PART, AND REMANDED-IN-PART	Prost	Before Prost, Chief Judge, Wallach and Chen, Circuit Judges.
786 F.3d 932	Salem Financial Inc v US	Third Circuit	Appellate Court	AFFIRMED IN PART, REVERSED IN PART, AND REMANDED.	BRYSON	Before O'MALLEY, BRYSON, and HUGHES, Circuit Judges.
822 F.3d 1302	Mankes v Vivid Seats Ltd	Eastern District of North Carolina	Federal District Court	AFFIRMED IN PART, VACATED IN PART, AND REMANDED.	TARANTO	Before TARANTO, SCHALL, and CHEN, Circuit Judges.
734 F.3d 1332	Synthes USA LLC v Spinal Kinetics Inc	Northern District of California	Federal District Court	AFFIRMED.	O'MALLEY	Before PROST, O'MALLEY, and TARANTO, Circuit Judges.
864 F.3d 1326	The Container Store v United States	United States Court of International Trade	Federal Court	REVERSED AND REMANDED	Mayer	Before Newman, Mayer, and O'Malley, Circuit Judges.
811 F.3d 455	WiLan Inc v Apple Inc	Eastern District of Texas	Federal District Court	AFFIRMED–IN–PART AND REVERSED–IN–PART	REYNA	Before REYNA, WALLACH, and HUGHES, Circuit Judges.
739 F.3d 1339	Nazomi Communications Inc v Nokia Corp	Central District of California	Federal District Court	AFFIRMED.	DYK	Before LOURIE, DYK, and WALLACH, Circuit Judges.
743 F.3d 849	Starhome GmbH v AT And T Mobility LLC	District of Delaware	Federal District Court	AFFIRMED	SCHALL	Before MOORE, SCHALL, and REYNA, Circuit Judges.
715 F.3d 1363	Aventis Pharmaceuticals Inc v Amino Chemicals Ltd	District of New Jersey	Federal District Court	REVERSED AND REMANDED	REYNA	Before NEWMAN, BRYSON, *  and REYNA, Circuit Judges.
861 F.3d 1378	Genband US LLC v Metaswitch Networks Corp	Eastern District of Texas	Federal District Court	VACATED AND REMANDED	Taranto	Before Lourie, Taranto, and Chen, Circuit Judges.
785 F.3d 1396	Sukumar v Nautilus Inc	Western District of Virginia	Federal District Court	AFFIRMED	PROST	Before PROST, Chief Judge, NEWMAN and REYNA, Circuit Judges.
759 F.3d 1333	Arlington Industries Inc v Bridgeport Fittings Inc	Middle District of Pennsylvania	Federal District Court	DISMISSED	HUGHES	Before CHEN, CLEVENGER, and HUGHES, Circuit Judges.
